Company Common Name,Instrument,Issuer Ticker
Kraft Heinz Foods Co,HNZ.N^F13,KHCIZ
Helen of Troy Ltd,HELE.OQ,HELE
Firan Technology Group Corp,FTG.TO,
Helmerich and Payne Inc,HP.N,HP
Hemisphere Energy Corp,HME.V,
Ampco-Pittsburgh Corp,AP.N,APXXX
Jack Henry & Associates Inc,JKHY.OQ,JKHY
California First Leasing Corp,CFNB.PK,CFNB
AMREP Corp,AXR.N,AXR
Hercules LLC,HPC.N^K08,ASHHE
Amsouth BanCorp,ASO.N^K06,RFAMS
Heritage Financial Corp,HFWA.OQ,HFWA
Zix Corp,ZIXI.OQ^L21,ZIXI
Amtech Systems Inc,ASYS.OQ,ASYS
ZoomAway Technologies Inc,ZMA.V,
Heroux Devtek Inc,HRX.TO^B25,HRUDV
Hershey Co,HSY.N,HSY
Anadarko Petroleum Corp,APC.N^H19,OXYAP
HP Inc,HPQ.N,HPQ
Hexcel Corp,HXL.N,HXL
Analog Devices Inc,ADI.OQ,ADI
Analogic Corp,ALOG.OQ^F18,ANGDPA
Crawford United Corp,CRAWA.PK^B26,SPXCR
Andrea Electronics Corp,ANDR.PK,ANDRX
Andrew Peller Ltd,ADWa.TO,ADW
CommScope Technologies LLC,ANDW.OQ^A08,VISNO
Safehold Inc,SAFE.N,SAFE
Hill-Rom Holdings Inc,HRC.N^L21,HRC
Hingham Institution For Savings,HIFS.OQ,HIFS
Accelerate Diagnostics Inc,AXDXQ.PK^H25,AXDX
TOR Minerals International Inc,TORM.PK,TORMX
HF Sinclair Corp,DINO.N,DINO
Hologic Inc,HOLX.OQ,HOLX
Homasote Co,HMTC.PK,HMTC
Home Capital Group Inc,HCG.TO^I23,SIFIIH
Home Depot Inc,HD.N,HD
AT Topco Inc,ANN.N^H15,MAHBRA
Rexam Ltd,REX.L^G16,BLLRM
First United Corp,FUNC.OQ,FUNC
Meritage Homes Corp,MTH.N,MTH
Apogee Enterprises Inc,APOG.OQ,APOG
HNI Corp,HNI.N,HNI
Hooper Holmes Inc,HPHWQ.PK^B19,HOOHO
Hormel Foods Corp,HRL.N,HRL
Starwood Hotels & Resorts Worldwide LLC,HOT.N^I16,MARHOW
CenterPoint Energy Inc,CNP.N,CNP
Hovnanian Enterprises Inc,HOV.N,HOV
ICAD Inc,ICAD.OQ^G25,ICADX
Hubbell Inc,HUBB.N,HUBB
Applied Materials Inc,AMAT.OQ,AMAT
Enerpac Tool Group Corp,EPAC.N,EPAC
Humana Inc,HUM.N,HUM
Crown Point Energy Inc,CWV.V,CWV
J B Hunt Transport Services Inc,JBHT.OQ,JBHT
Arctic Cat Inc,ACAT.OQ^C17,TXTAR
Huntington Bancshares Inc,HBAN.OQ,HBAN
VVC Exploration Corp,VVC.V,
Hurco Companies Inc,HURC.OQ,HURC
Hutchinson Technology Inc,HTCH.OQ^J16,TDKCRO
Sprott Focus Trust Inc,FUND.OQ,FUND
Torex Gold Resources Inc,TXG.TO,TXG
Ark Restaurants Corp,ARKR.OQ,ARKR
Armanino Foods Of Distinction Inc,AMNF.PK,AMNF
Biogen Inc,BIIB.OQ,BIIB
Aecon Group Inc,ARE.TO,AREX
Micron Solutions Inc,MICR.PK,MICR
Arrow Electronics Inc,ARW.N,ARW
Arrow Financial Corp,AROW.OQ,AROW
Art's Way Manufacturing Co Inc,ARTW.OQ,ARTWX
Asbestos Corp Ltd,ABh.V,ABXX
Bonavista Energy Corp (Pre-Merger),BNP.TO^H20,BONVI
Cambria Gold Mines Inc,CAMB.V,CAMB
Ashland Inc,ASH.N,ASH
IEH Corp,IEHC.PK,IEHC
VJGJ Inc,TLGTQ.PK^G22,VJGJ
Dine Brands Global Inc,DIN.N,DIN
Sanara Medtech Inc,SMTI.OQ,
Enservco Corp,ENSV.PK,ENSV
Associated Banc-Corp,ASB.N,ASB
Astec Industries Inc,ASTE.OQ,ASTE
Astral Media Inc,ACMa.TO^G13,BCEST
AstroNova Inc,ALOT.OQ,ALOT
Astronics Corp,ATRO.OQ,ATRO
Atco Ltd,ACOx.TO,ACO
HYTN Innovations Inc,HYTN.CD,
AirBoss of America Corp,BOS.TO,BOSXX
Idacorp Inc,IDA.N,IDAX
Southern Company Gas,GAS.N^G16,SOSUT
IDEX Corp,IEX.N,IEX
Atlantic American Corp,AAME.OQ,AAME
IDEXX Laboratories Inc,IDXX.OQ,IDXX
Atmel Corp,ATML.OQ^D16,MCHPA
Atmos Energy Corp,ATO.N,ATO
Unisync Corp,UNI.TO,
Illinois Tool Works Inc,ITW.N,ITW
LifeMD Inc,LFMD.OQ,LFMD
ImmuCell Corp,ICCC.OQ,ICCC
Atwood Oceanics LLC,ATW.N^J17,EFEFAO
ImmunoGen Inc,IMGN.OQ^B24,ABBVI
Panera Bread Co,PNRA.OQ^G17,ANATEN
VOXX International Corp,VOXX.OQ^D25,GNTXVI
REX American Resources Corp,REX.N,REXXX
Aurizon Mines Ltd (Pre-Merger),ARZ.TO^F13,HLAUR
Autodesk Inc,ADSK.OQ,ADSK
Imperial Metals Corp,III.TO,IIIXX
Immunomedics Inc,IMMU.OQ^J20,GILDIM
Automatic Data Processing Inc,ADP.OQ,ADPX
Autozone Inc,AZO.N,AZO
AV Homes Inc,AVHI.OQ^J18,TMHCE
Avery Dennison Corp,AVY.N,AVY
Independence Holding Co,IHC.N^B22,IHC
Independent Bank Corp (Massachusetts),INDB.OQ,INDB
Avino Silver & Gold Mines Ltd,ASM.TO,
Independent Bank Corp (Michigan),IBCP.OQ,IBCP
Avnet Inc,AVT.OQ,AVT
Yangarra Resources Ltd,YGR.TO,YGR
BCE Inc,BCE.TO,BCE
Alpha Pro Tech Ltd,APT.A,APTXX
DPM Metals Inc,DPM.TO,DPM
BJ Services Company LLC,BJS.N^D10,BKRKHS
Catamaran Corp,CCT.TO^G15,UNHOTC
Ingles Markets Inc,IMKTA.OQ,IMKTA
BMTC Group Inc,GBT.TO,
Nomad Royalty Company Ltd,NSR.TO^H22,SSLNO
BP Prudhoe Bay Royalty Trust,BPPTU.PK^J25,BMIX
BRE Properties Inc,BRE.N^D14,ESSRPO
Onenergy Inc,OEGh.V,OEGX
BRT Apartments Corp,BRT.N,BRT
"Bloomia Holdings, Inc",TULP.OQ,TULP
ION Geophysical Corp,IOGPQ.PK^I22,IONGE
Repsol Oil & Gas Canada Inc (PRE-MERGER 1),TLM.TO^E15,REPRSG
BMC Software Inc,BMC.OQ^I13,KKRCRE
Azuria Water Solutions Inc,AEGN.OQ^E21,CARTMA
AZZ Inc,AZZ.N,AZZ
Thermogenesis Holdings Inc,THMO.PK,THMO
Insteel Industries Inc,IIIN.N,IIIN
Griffon Corp,GFF.N,GFFX
CoreCard Corp,CCRD.N^J25,ACCRD
Centric Brands LLC,CTRCQ.PK^J20,CTRCB
Integrated Device Technology Inc,IDTI.OQ^D19,NECELI
Intel Corp,INTC.OQ,INTC
Badger Meter Inc,BMI.N,BMI
BKF Capital Group Inc,BKFG.PK,BKFGX
Baker Hughes Co,BKR.OQ,BKR
Inter-Rock Minerals Inc,IRO.V,
Balchem Corp,BCPC.OQ,BCPC
Protective Insurance Corp,PTVCB.OQ^F21,PTVCB
Ball Corp,BALL.N,BLL
Interface Inc,TILE.OQ,TILEX
InterGroup Corp,INTG.OQ,INTG
Bank of Hawaii Corp,BOH.N,BOH
Cadence Bank,CADE.N^B26,BTOO
Bancroft Fund Ltd,BCV.A,BCV
International Business Machines Corp,IBM.N,IBM
Polycom LLC,PLCM.OQ^I16,PLTXPO
HAL Trust,HLAN.AS,HLANY
RENN Fund Inc,RCG.A,RCGX
Bank of Montreal,BMO.TO,BMO
Bank of New York Mellon Corp,BK.N,BK
Leagold Mining Corp,LMC.TO^C20,LMC
Bank of South Carolina,BKSC.PK,BKSC
Popular Inc,BPOP.OQ,BPOP
International Flavors & Fragrances Inc,IFF.N,IFF
Broad Street Realty Inc,BRST.PK,BRST
Interfor Corp,IFP.TO,IFP
Aris Mining Corp,ARIS.TO,GCM
International Game Technology,IGT.N^D15,GIGIN
Sykes Enterprises Inc,SYKE.OQ^H21,SYKE
InterDigital Inc,IDCC.OQ,IDCC
Tupperware Brands Corp,TUPBQ.PK^F25,TUPPR
International Paper Co,IP.N,IP
Prism Resources Inc,PRSh.V,
World Kinect Corp,WKC.N,WKC
Infineon Technologies Americas Corp,IRF.N^A15,IFXGIT
Global Crossing Airlines Group Inc,JET.NLB,
Rail Ferry Investment Holdings Inc,ISHCQ.PK^G17,ARNDPR
Westbridge Renewable Energy Corp.,WEB.V,WEB
C R Bard Inc,BCR.N^L17,BDXCB
Barnes Group Inc,B.N^A25,GOATHB
Barnwell Industries Inc,BRN.A,BRNX
Barr Pharmaceuticals Inc,BRL.N^L08,TEVAUB
UPD Holding Corp,UPDC.PK,UPDC
Enbridge Inc,ENB.TO,ENB
Interpublic Group of Companies Inc,IPG.N^K25,IPG
Earthstone Energy Inc,ESTE.N^K23,ESTE
Invacare Corp,IVCRQ.PK^E23,INCARI
Bassett Furniture Industries Inc,BSET.OQ,BSET
Inventronics Ltd,IVX.V,
Bausch & Lomb Inc,BOL.N^J07,VRXBL
Baxter International Inc,BAX.N,BAX
IGM Financial Inc,IGM.TO,IGM
Investors Title Co,ITIC.OQ,ITIC
B/E Aerospace Inc,BEAV.OQ^D17,UTXRCB
Bear Stearns Companies LLC,BSC.N^F08,JPMBS
Applied Industrial Technologies Inc,AIT.N,AIT
Alaska Energy Metals Corp,AEMC.V,
Intrepid Capital Corp,ITPC.PK,ITPC
Becker Milk Co Ltd,BEKb.TO,
Beckman Coulter Inc,BEC.N^F11,DHRBE
Becton Dickinson and Co,BDX.N,BDX
Lake Shore Gold Corp (Pre-Merger),LSG.TO^D16,PAASL
Ironstone Properties Inc,IRNS.PK,IRNS
Ionis Pharmaceuticals Inc,IONS.OQ,IONS
Isramco Inc,ISRL.OQ^J19,NFTANI
Anixter International Inc,AXE.N^F20,AXE
J&J Snack Foods Corp,JJSF.OQ,JJSF
Nitches Inc,NICH.PK,NICH
Bel Fuse Inc,BELFA.OQ,BELFA
Jacobs Solutions Inc,J.N,J
Amcor Flexibles North America Inc,BMS.N^F19,AMCORO
Benchmark Electronics Inc,BHE.N,BHE
Jean Coutu Group (PJC) Inc,PJCa.TO^E18,MTRIJ
Interparfums Inc,IPAR.OQ,IPAR
Jefferies Group LLC,JEF.N^C13,JEFJF
Jewett-Cameron Trading Company Ltd,JCTC.OQ,JCTC
JLM Couture Inc,JLMCQ.PK,JLMC
