Company Common Name,Instrument,Issuer Ticker,GVKEY,Compustat_Company_Name
Bioqual Inc,BIOQ.PK,BIOQ,,
Aiadvertising Inc,AIAD.PK,,,
Movie Studio Inc,MVES.PK,,,
National Capital Bank of Washington,NACB.PK,NACB,,
EVIO Inc,EVIO.PK,,,
Consorcio Ara SAB de CV,ARA.MX,ARA,,
Energisa Mato Grosso Distribuidora de Energia SA,ENMT4.SA,ENMTC,,
SCI Engineered Materials Inc,SCIA.PK,,,
Thunder Mountain Gold Inc,THMG.PK,THMG,,
Surge Energy Inc (Alberta),SGY.TO,SGY,,
Grupo Bafar SAB de CV,BAFARB.BIV,BAFAX,,
Futuris Company,FTRS.PK,FTRS,,
First National of Nebraska Inc,FINN.PK,FINN,,
Fleetwood Bank Corp,FLEW.PK,FLEW,,
Farmers & Merchants Bank of Long Beach,FMBL.PK,,,
Blumetric Environmental Inc,BLM.V,BLM,,
Castilla Agricola SA,CLL.CN,CLL,,
Saddle Ranch Media Inc,SRMX.PK,SRMX,,
Coltejer SA,CTJ.CN^F25,CTJ,,
Minupar Participacoes SA,MNPR3.SA,,,
GreenShift Corp,GERS.PK,GERS,,
Conservas Oderich SA,ODER3.SA,,,
Constructora Conconcreto SA,CIC.CN,CICX,,
Refinaria de Petroleos de Manguinhos SA em Recuperacao Judicial,RPMG3.SA,RPMGC,,
Oi SA - em Recuperacao Judicial,OIBR4.SA,OIBRD,,
Galaxy Next Generation Inc,GAXYQ.PK^B25,GAXYN,,
Quest Patent Research Corp,QPRC.PK,,,
Portsmouth Square Inc,PRSI.PK,PRSI,,
Nuveen New York Select Tax Free Income Portfolio,NXN.N^A26,,,
Pearl River Holdings Ltd,PRH.V,,,
