Company Common Name,Instrument,Issuer Ticker,GVKEY,Compustat_Company_Name
Axiall Corp,AXLL.N^H16,WLKAX,12895.0,AXIALL CORP
Alberto-Culver Co,ACV.N^K06,UNALB,1239.0,ALBERTO-CULVER CO
Georgia-Pacific LLC,GP.N^L05,KOCHGE,,
Alcan Inc,AL.TO^K07,RIOXAN,165829.0,ALCANNA INC
European Equity Fund Inc,EEA.N,EEA,14710.0,EUROPEAN EQUITY FUND INC
Getty Realty Corp,GTY.N,GTY,5149.0,GETTY REALTY CORP
Gresham Worldwide Inc,GIGAQ.PK,GIGAQ,123434.0,AGRITECH WORLDWIDE INC
Glacier Bancorp Inc,GBCI.N,GBCI,16832.0,GLACIER BANCORP INC
Cortland Bancorp,CLDB.OQ^K21,FMNMSC,28833.0,CORTLAND BANCORP
Magnera Corp,MAGN.N,MAGNX,50852.0,MAGNERA CORP
Smartcool Systems Inc,SSCh.V^L24,,66606.0,SMARTCOOL SYSTEMS INC
Matson Inc,MATX.N,MATX,1254.0,MATSON INC
Alexander's Inc,ALX.N,ALX,1257.0,ALEXANDER'S INC
Baffinland Iron Mines Corp,BIM.TO^D11,BIRMS,,
Algoma Central Corp,ALC.TO,ALC,1262.0,ALGOMA CENTRAL CORP
HLS Therapeutics Inc,HLS.TO,HLS,33227.0,HLS THERAPEUTICS INC
Alico Inc,ALCO.OQ,ALCO,1266.0,ALICO INC
Globex Mining Enterprise Inc,GMX.TO,,21859.0,GLOBEX MINING ENTERPRISES
ATI Inc,ATI.N,ATI,29274.0,ATMI INC
Alleghany Corp,Y^J22,BRKAH,1274.0,ALLEGHANY CORP
Allegheny Energy Inc,AYE.N^B11,FEALL,1279.0,ALLEGHENY ENERGY INC
Allergan Inc,AGN.N^C15,ABBVVA,15708.0,ALLERGAN INC
Allergan Inc,AGN.N^C15,ABBVVA,27845.0,ALLERGAN PLC
AllianceBernstein Holding LP,AB.N,ABY,14592.0,ALLIANCEBERNSTEIN HOLDING LP
Alliance HealthCare Services Inc,AIQ.O^H17,STPKML,13657.0,ALLIANCE HEALTHCARE SVCS INC
Lucero Energy Corp,LOU.V^C25,VTSLRE,170893.0,LUCERO ENERGY CORP
Northrop Grumman Innovation Systems LLC,OA.N^F18,NOCNOR,,
