index,lseg_name,lseg_clean,compustat_name,compustat_clean,gvkey,score
563,Kansas City Life Insurance Co,KANSAS CITY LIFE INSURANCE,KANSAS CITY LIFE INS CO,KANSAS CITY LIFE INS,6333,87
571,Kelly Services Inc,KELLY SERVICES,KELLY SERVICES INC  -CL A,KELLY SERVICES CL A,6379,85
584,H & R Block Inc,H R BLOCK,BLOCK H & R INC,BLOCK H R,2269,100
592,Hansa Investment Company Ltd,HANSA INVESTMENT,AGNC INVESTMENT CORP,AGNC INVESTMENT,179889,84
598,Bombardier Inc,BOMBARDIER,BOMBARDIER INC  -CL B,BOMBARDIER CL B,14078,80
615,Thunderbird Entertainment Group Inc,THUNDERBIRD ENTERTAINMENT,THUNDERBIRD ENTERTAINMENT GR,THUNDERBIRD ENTERTAINMENT GR,34378,94
618,Snyder's-Lance Inc,SNYDER S LANCE,SNYDERS-LANCE INC,SNYDERS LANCE,6574,89
621,Bowl America I LLC,BOWL AMERICA I,BOWL AMERICA INC  -CL A,BOWL AMERICA CL A,2342,84
625,Lassonde Industries Inc,LASSONDE INDUSTRIES,LASSONDE INDUSTRIES INC-CL A,LASSONDE INDUSTRIES CL A,20879,88
630,Distribution Solutions Group Inc,DISTRIBUTION SOLUTIONS,DISTRIBUTION SOLUTIO GRO INC,DISTRIBUTION SOLUTIO GRO,6617,87
