gvkey,sich
184046,2834
184049,3690
184077,3841
184101,3812
184113,3663
184157,4841
184167,6022
184256,2834
184258,3531
184262,1311
184263,7389
184312,2100
184392,6199
184442,1311
184465,2834
184470,3559
184498,6162
184500,6200
184511,1040
184514,7372
184551,3674
184576,7389
184603,7372
184604,3674
184652,1381
184688,6798
184700,7389
184702,3674
184717,2860
184748,2750
184785,3714
184797,7372
184899,6361
184905,6510
184957,3711
184996,3711
185016,4922
185018,6500
185030,1040
185054,8090
185112,3674
185113,6022
185119,7373
185125,3845
185128,1700
185133,1000
185138,3670
185164,6798
185169,3621
185177,6798
185195,3100
185229,3510
185230,1311
185277,1400
185289,2834
185334,2000
185337,8082
185339,6798
185345,6798
185363,7011
185370,6199
185372,3949
185375,7374
185396,6798
185419,3826
185423,1311
185428,2834
185448,1040
185453,6798
185517,3674
185532,4922
185549,6798
185569,6035
185618,6798
185646,7372
185659,2834
185701,5734
185703,7374
185797,6798
185824,6035
185836,2834
185880,1040
185881,8742
185908,2834
185921,4899
186057,6770
186109,1040
186139,2870
186153,1000
186159,2834
186169,4941
186203,1000
186230,6331
186276,1311
186278,7359
186288,4899
186308,6794
186310,3730
186336,1389
186342,7370
186344,6036
186360,3620
186363,6798
186392,7990
186428,6035
186437,2860
186501,4922
186520,4832
186553,1311
186671,6798
186683,3572
186714,7374
186773,3312
186783,6798
186785,5812
186823,3390
186890,6022
186903,7372
186904,6199
186960,5141
186989,2911
186996,7372
187039,7389
187084,5900
187105,7389
187122,5812
187128,1311
187148,6798
187169,3510
187235,1040
187236,6022
187252,6021
187253,6141
187363,7311
187368,2834
187418,2711
187434,7374
187450,3674
187462,3663
187490,7372
187549,6021
187550,5030
187576,7374
187631,2834
187650,1040
187653,3845
187665,5961
187692,2860
187696,3440
187697,7371
187698,1311
187709,5171
187714,5072
187739,3669
187775,5812
187812,1311
187833,5812
187959,7374
187961,1311
188157,7372
188255,2430
188856,6794
189459,6282
189490,3669
189491,3561
189516,6798
189517,6141
189567,6282
189579,5411
189594,7381
189955,7372
190355,3845
190455,7372
190590,4931
190856,2834
190959,4813
190963,6021
191255,6531
192255,8093
194255,2834
194956,7389
196055,2834
196159,2911
196268,7200
196269,2834
199356,7370
200512,2621
200856,1000
200976,2860
201140,2080
201792,4911
204203,3241
205876,5331
205942,2011
206243,1389
208057,3310
209382,1000
211732,6029
212950,4911
213288,3721
220487,4512
221545,2015
222111,1311
222642,4812
222647,4813
222648,4813
237820,1600
241366,6029
241388,6029
243174,7370
248780,2834
249158,4400
253355,3841
253501,1400
253527,3826
254399,3841
258664,6029
259518,6282
260651,1000
260751,6029
260774,6500
260838,2834
260893,7372
263277,7359
264193,4213
264265,2834
264385,3841
264387,3841
264395,6211
264412,4841
264414,2836
264416,3674
264509,4610
264708,5940
266160,6035
266214,6282
266315,6798
268208,2810
269005,4911
270509,2844
271357,2834
271710,4512
271841,1520
273726,1381
274536,5500
275862,900
278151,1311
278461,1000
279431,4931
285174,7374
285313,6029
285333,6029
287462,2860
287882,1311
288586,4400
293070,6199
293919,2834
296318,1381
296677,8050
297289,4512
298036,7363
298636,4512
306398,3841
312009,4412
312066,5412
314917,7372
315318,2890
316747,7370
317264,4412
318728,6311
319917,2834
321429,8731
322985,1311
323308,1381
324960,1400
325211,1311
325576,7340
325763,1090
325942,6519
327115,6029
328795,3440
331856,2834
332179,7374
333070,7389
339965,7372
343180,3674
345980,5961
347007,2836
349705,4412
356859,7389
