gvkey,year,total_assets,market_cap
16478.0,2013,30574238000,45816073815.84
16478.0,2014,34762687000,50455226746.9799
16478.0,2015,26970470000,38913772192.47
16478.0,2016,,58279872762.2999
16478.0,2016,29299201000,
16478.0,2017,,62395637109.2999
16478.0,2017,29833078000,
16478.0,2018,33934474000,50573344205.6099
16478.0,2019,37124608000,48728560597.2
16478.0,2020,35804601000,29093083052.1499
16478.0,2021,38236000000,51973543012.2299
16478.0,2022,,76078687521.92
16478.0,2022,41371000000,
16478.0,2023,,70531944361.9
22373.0,2010,13170733,
22373.0,2010,,82394132.41
22373.0,2011,24500718,
22373.0,2011,,48238003.51
22373.0,2012,24405047,
22373.0,2012,,35639118.9
22373.0,2013,27558895,
22373.0,2013,,61873817.4
22373.0,2014,33778820,
22373.0,2014,,89738520.3
22373.0,2015,39671663,
22373.0,2015,,63950980.29
22373.0,2016,36813533,
22373.0,2016,,54378176.1299999
22373.0,2017,38857800,
22373.0,2017,,80594290.65
22373.0,2018,41860797,
22373.0,2018,,83631212.28
22373.0,2019,47119983,
22373.0,2019,,107937239.1
22373.0,2020,66167000,
22373.0,2020,,218859728.359999
22373.0,2021,90128000,
22373.0,2021,,145199144.06
22373.0,2022,71854000,
22373.0,2022,,135802842.7
22373.0,2023,49905000,
22373.0,2023,,89375055.63
4409.0,2009,332749000,
4409.0,2010,488857000,726563964.16
4409.0,2011,,323537887.9
4409.0,2011,343209000,
4409.0,2012,199781000,193463470.849
4409.0,2013,7121000,51119226.84
4409.0,2014,35040000,48115150.6
4409.0,2015,22890000,30154492.7775
4409.0,2016,,16138330.095
4409.0,2016,11271000,
4409.0,2017,,11937942.81
4409.0,2017,9512000,
4409.0,2018,15510000,11142079.956
4409.0,2019,6478000,9108208.218
4409.0,2020,48232000,18434536.312185
4409.0,2021,47754000,25418501.5275
4409.0,2022,,18305031.82995
4409.0,2022,47589000,
4409.0,2023,,6942776.11065
4415.0,2010,51729000,
4415.0,2010,,26367371.3
4415.0,2011,50791000,
4415.0,2011,,18232186.0
4415.0,2012,67786000,
4415.0,2012,,14469230.78
4415.0,2013,60568000,
4415.0,2013,,17911063.95
4415.0,2014,56192000,
4415.0,2014,,17451805.9
4415.0,2015,51650000,
4415.0,2015,,9185161.0
4415.0,2016,44249000,
4415.0,2016,,4592580.5
4415.0,2017,44538000,
4415.0,2017,,9428071.0
4415.0,2018,46423000,
4415.0,2018,,4627454.65
4415.0,2019,45412000,
4415.0,2019,,6279644.83575
4415.0,2020,,2937017.135
4415.0,2021,,
4415.0,2021,,3399762.6
4415.0,2022,34553000,
4415.0,2022,,2219289.475
4415.0,2023,32689000,
4415.0,2023,,6978012.7365
4418.0,2010,115245000,
4418.0,2010,,201495359.999999
4418.0,2011,109474000,
4418.0,2011,,86462147.52
4418.0,2012,69123000,
4418.0,2012,,106054380.0
4418.0,2013,58958000,
4418.0,2013,,120736160.0
4418.0,2014,64411000,
4418.0,2014,,198698880.0
4418.0,2015,68394000,
4418.0,2015,,207310500.0
4418.0,2016,111821000,
4418.0,2016,,321251121.78
4418.0,2017,107665000,
4418.0,2017,,382444626.15
4418.0,2018,101660000,
4418.0,2018,,131194952.619999
4418.0,2019,106640000,
4418.0,2019,,125074402.41
4418.0,2020,112538000,
4418.0,2020,,120695526.0
4418.0,2021,113691000,
4418.0,2021,,155594384.91
4418.0,2022,75611000,
4418.0,2022,,69670249.22
4418.0,2023,121880000,
4418.0,2023,,70180781.69
12915.0,2009,126990747,
12915.0,2010,122520093,265766851.5
12915.0,2011,,430188311.39
12915.0,2011,127861342,
12915.0,2012,191439000,396800194.18
12915.0,2013,184245000,349735208.78
12915.0,2014,189633000,568416083.82
12915.0,2015,189321000,363746552.96
12915.0,2016,,489314922.619999
12915.0,2016,207935000,
12915.0,2017,,1143827390.63999
12915.0,2017,296201000,
12915.0,2018,315571000,715393797.92
12915.0,2019,349295000,495662751.099999
12915.0,2020,454472000,759291179.92
12915.0,2021,460990000,626014034.91
12915.0,2022,,350038247.26
12915.0,2022,444180000,
12915.0,2023,,602571030.4
4423.0,2009,3550500000,
4423.0,2010,3437500000,4393096532.8
4423.0,2011,,4690692080.1
4423.0,2011,3518700000,
4423.0,2012,4520100000,6472650092.04
4423.0,2013,4539900000,8422071000.0
4423.0,2014,4661000000,9655878000.0
4423.0,2015,4501500000,13168870029.77
4423.0,2016,,14159379563.07
4423.0,2016,6664000000,
4423.0,2017,,14159760017.92
4423.0,2017,7233400000,
4423.0,2018,7153200000,11229156921.01
4423.0,2019,7909000000,16966203766.08
4423.0,2020,9611800000,23457627442.2
4423.0,2021,11040900000,35749659000.0
4423.0,2022,,23798104860.44
4423.0,2022,11547900000,
4423.0,2023,,30470276537.04
4430.0,2009,5957257000,
4430.0,2010,7098438000,6687597409.76
4430.0,2011,,8187676954.07
4430.0,2011,8772719000,
4430.0,2012,8849862000,8824194498.3
4430.0,2013,9792053000,13531308336.64
4430.0,2014,12035353000,11469004200.0
4430.0,2015,13976172000,7951910200.0
4430.0,2016,,11298373200.0
4430.0,2016,15472922000,
4430.0,2017,,15125487752.64
4430.0,2017,29522604000,
4430.0,2018,20721344000,4806107140.0
4430.0,2019,18809227000,2786513877.5
4430.0,2020,18113469000,3502861091.17
4430.0,2021,21607388000,8243190458.49
4430.0,2022,,12417166349.15
4430.0,2022,22669926000,
4430.0,2023,,15902095119.9999
23825.0,2009,208055,
23825.0,2010,460674,7615590.09999999
23825.0,2011,,10119245.6
23825.0,2011,148241,
23825.0,2012,103015,8886355.19999999
23825.0,2013,390840,7990372.0
23825.0,2014,1187305,8008457.59999999
23825.0,2015,195427,9608588.69999999
23825.0,2016,,2270844.4
23825.0,2016,44200,
23825.0,2017,,1135422.2
23825.0,2017,64981,
23825.0,2018,44630,1142422.2
23825.0,2019,55504,261541.484999999
23825.0,2020,43965,464962.639999999
23825.0,2021,715572,20435830.23
23825.0,2022,,2966491.485
23825.0,2022,172780,
23825.0,2023,,2966491.48499999
4448.0,2009,127238000,
4448.0,2010,127553000,
4448.0,2010,,81424252.36
4448.0,2011,,57075889.6399999
4448.0,2011,130115000,
4448.0,2012,125740000,
4448.0,2012,,69926051.47
4448.0,2013,141974000,
4448.0,2013,,159347827.21
4448.0,2014,127881000,
4448.0,2014,,210533386.32
4448.0,2015,143737000,
4448.0,2015,,187222314.5
4448.0,2016,,188785858.799999
4448.0,2016,150761000,
4448.0,2017,,176758207.8
4448.0,2017,156105000,
4448.0,2018,149527000,
4448.0,2018,,165324534.799999
4448.0,2019,148779000,
4448.0,2019,,139731257.91
4448.0,2020,220705000,
4448.0,2020,,294673274.6
4448.0,2021,251798000,
4448.0,2021,,213059712.28
4448.0,2022,,138350343.26
4448.0,2022,298718000,
4448.0,2023,,275972312.0
4450.0,2010,31166679,
4450.0,2010,,55255163.04
4450.0,2011,31868624,
4450.0,2011,,54193209.2099999
4450.0,2012,32785603,
4450.0,2012,,59082483.6
4450.0,2013,35540947,
4450.0,2013,,76893638.4
4450.0,2014,32398446,
4450.0,2014,,56144223.8
4450.0,2015,34344244,
4450.0,2015,,60491488.0
4450.0,2016,34452917,
4450.0,2016,,61617516.8616
4450.0,2017,35493695,
4450.0,2017,,56746928.21
4450.0,2018,36819341,
4450.0,2018,,59716369.16
4450.0,2019,35687513,
4450.0,2019,,51893049.6
4450.0,2020,38208766,
4450.0,2020,,45445803.195
4450.0,2021,37980803,
4450.0,2021,,38404144.6667
4450.0,2022,39897229,
4450.0,2022,,38377388.6
4450.0,2023,47501523,
4450.0,2023,,50614037.1
4460.0,2010,2587738000,
4460.0,2010,,2081040765.46
4460.0,2011,3378586000,
4460.0,2011,,1714043973.98
4460.0,2012,3227117000,
4460.0,2012,,1964329596.3
4460.0,2013,3262112000,
4460.0,2013,,3219390976.43999
4460.0,2014,3193467000,
4460.0,2014,,3482406904.8
4460.0,2015,3000488000,
4460.0,2015,,2398157685.0
4460.0,2016,3029390000,
4460.0,2016,,2643959360.0
4460.0,2017,3120013000,
4460.0,2017,,2239837219.8
4460.0,2018,3036917000,
4460.0,2018,,3599876617.4
4460.0,2019,,3637034080.02
4462.0,2009,1025192000,
4462.0,2010,1062741000,1763095721.14
4462.0,2011,,2655631069.41
4462.0,2011,1191662000,
4462.0,2012,1264248000,3518167349.39999
4462.0,2013,1327274000,4430964664.9
4462.0,2014,1231925000,5022481668.45
4462.0,2015,1286249000,4549131845.58
4462.0,2016,,5021933511.36
4462.0,2016,1416436000,
4462.0,2017,,4710306190.73
4462.0,2017,1712154000,
4462.0,2018,1697274000,4609013187.38
4462.0,2019,1885132000,5443452859.48
4462.0,2020,1933875000,4349880024.81
4462.0,2021,2558436000,3551512083.84
4462.0,2022,,3071103698.4
4462.0,2022,2406818000,
4462.0,2023,,5234592120.33
25555.0,2010,,
25555.0,2010,,508988375.56
25555.0,2011,,
25555.0,2011,,568854385.83
25555.0,2012,,
25555.0,2012,,613292286.719999
25555.0,2013,,
25555.0,2013,,522651260.01
25555.0,2014,,
25555.0,2014,,581984275.5
25555.0,2015,872691796,
25555.0,2015,,607945988.939999
25555.0,2016,889112213,
25555.0,2016,,590727592.84
25555.0,2017,857708057,
25555.0,2017,,609018868.48
25555.0,2018,844353711,
25555.0,2018,,549766921.8
25555.0,2019,850240073,
25555.0,2019,,577659775.32
25555.0,2020,815826443,
25555.0,2020,,556843206.84
25555.0,2021,877608549,
25555.0,2021,,567251491.08
25555.0,2022,789247480,
25555.0,2022,,436714259.57
25555.0,2023,732714417,
25555.0,2023,,441051044.67
25567.0,2010,,
25567.0,2010,,418037959.08
25567.0,2011,,
25567.0,2011,,482262464.46
25567.0,2012,,
25567.0,2012,,539575354.08
25567.0,2013,,
